feature,selectkbest_fscore,rf_importance,rfe_rank,selectkbest_top8,rfe_selected
ma_gap_20,11.766219660623527,0.16123570423298017,1,1,1
vol_10,4.765026720109464,0.09084145154110568,1,1,1
vol_20,3.069448591689592,0.08492995453075328,1,1,1
ma_gap_10,6.853906634312439,0.06839239779193039,1,1,1
lower_wick,1.5346245207420097,0.061521667686759034,1,0,1
ret_5,3.8406077729329287,0.05880434372396517,4,1,0
ret_4,3.414650515213587,0.0584616751034769,6,1,0
range_pct,2.8617787838643176,0.05738028118456866,1,0,1
ret_3,3.052922218119069,0.056471886840118286,5,1,0
upper_wick,0.018187049273324797,0.055071684165164815,1,0,1
vol_ratio_20,0.9898105196187184,0.051734218603580066,8,0,0
vol_chg,1.3509809597234224,0.0511504840023987,7,0,0
ret_2,3.925834552705222,0.0495272210193374,1,1,1
ret_1,2.038010752135729,0.047536230269904826,3,0,0
co_ret,1.890080803218426,0.04694079930395658,2,0,0
